,name,description,units,valid values,var_type,min,max
361,bcc7470,Percentage of revolving bankcard trades that are ever derogatory,%,0-100,numeric,0,100
362,bcc7481,Percentage of open revolving bankcard trades reported in the last 6 months that have a balance to credit amount ratio >= 50,%,0-100,numeric,0,100
363,bcc7482,Percentage of open revolving bankcard trades reported in the last 6 months that have a balance to credit amount ratio >= 70,%,0-100,numeric,0,100
364,bcc7483,Percentage of open revolving bankcard trades reported in the last 6 months that have a balance to credit amount ratio >= 100,%,0-100,numeric,0,100
365,bcc7592,Percentage of open revolving bankcard trades with actual payment > $0 reported in the last 6 months that have actual an payment minus scheduled payment >= $1000,%,0-100,numeric,0,100
366,bcc7610,Percentage of total actual payment on open revolving bankcard trades that have the highest balance and actual payment > $0,%,0-100,numeric,0,100
367,bcc7620,Percentage of total actual payment on open revolving bankcard trades that have the highest credit amount with credit amount > $0,%,0-100,numeric,0,100
368,bcc7700,"Percentage of total available payment history on open revolving bankcard trades reported in the last 6 months that have balance activities, excluding unsatisfied derogatory",%,0-100,numeric,0,100
369,bcc7707,"Percentage of total payment history in the last 12 months on open revolving bankcard trades opened at least 6 months that have balance activities, reported in the last 12 months and excluding unsatisfied derogatory",%,0-100,numeric,0,100
370,bcc7708,"Percentage of total payment history in the last 24 months on open revolving bankcard trades opened at least 6 months that have balance activities, reported in the last 24 months and excluding unsatisfied derogatory",%,0-100,numeric,0,100
371,bcc7800,"Ratio of total available credit amount on open revolving bankcard trades to total monthly payments on open trades, reported in the last 6 months ",Months,0-999999990,numeric,0,999999990
372,bcc7801,"Ratio of total available credit amount on open revolving bankcard trades to total monthly payments on open installment, first and second mortgage trades, reported in the last 6 months ",Months,0-999999990,numeric,0,999999990
373,bcc7910,Percentage of open revolving bankcard trades reported in the last 6 months that have a balance activity ratio >= 50 ,%,0-100,numeric,0,100
374,bcc8120,Number of months since the most recently opened revolving bankcard trade including indeterminates,Months,0-9990,numeric,0,9990
375,bcc8122,Number of months since the most recently opened open revolving bankcard trade,Months,0-9990,numeric,0,9990
376,bcc8132,Number of days since the most recently opened open revolving bankcard trade,Days,0-99990,numeric,0,99990
